Michelin	Repsol	Denominación de Origen	Agricultura Ecológica	Euskal Baserri	Eusko Label
0	0				
0	0				
0	0				
0	0				
0	0				
0	0	Denominación de Origen			
0	0				
0	0				
0	1				
1	1				
0	0				
0	1				
0	0				
1	1				
0	0				
0	1				
0	1				
1	1				
0	1				
0	1				
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	1				
0	1				
1	1				
0	1				
0	0				
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0				
0	0				
0	0				
0	0				
0	0				
0	0				
0	0				
0	0				
0	0				
0	0	Denominación de Origen			
0	0				
0	0				
0	0	Denominación de Origen			
0	0				
0	0				
0	0				
0	0				
0	0				
0	1				
0	0	Denominación de Origen			
0	0	Denominación de Origen			
1	1				
0	0	Denominación de Origen			
0	0	Denominación de Origen			
1	1				
1	1				
1	0				
0	1				
0	0				
0	0				
0	0				
0	0				
0	0				
0	0				
0	0	Agricultura Ecológica			
0	0	Eusko Label			
0	0	Agricultura Ecológica			
0	0	Eusko Label			
0	0	Agricultura Ecológica			
0	0	Eusko Label			
0	0	Euskal Baserri			
0	0	Agricultura Ecológica			
0	0	Agricultura Ecológica			
0	0	Euskal Baserri			
0	0	Agricultura Ecológica			
0	0	Eusko Label			
0	0	Eusko Label			
0	0	Eusko Label			
0	0	Eusko Label			
0	0	Eusko Label			
0	0	Agricultura Ecológica			
0	0	Agricultura Ecológica			
0	0	Eusko Label			
0	0	Eusko Label			
0	0	Eusko Label			
0	0	Eusko Label			
0	0	Agricultura Ecológica			
0	0	Agricultura Ecológica			
0	0	Agricultura Ecológica			
0	0	Agricultura Ecológica			
0	0	Agricultura Ecológica			
0	0	Agricultura Ecológica			
0	0	Agricultura Ecológica			
0	0	Agricultura Ecológica			
0	0	Agricultura Ecológica			
0	0	Agricultura Ecológica			
0	0	Agricultura Ecológica			
0	0	Agricultura Ecológica			
0	0	Agricultura Ecológica			
0	0	Agricultura Ecológica			
0	0	Agricultura Ecológica			
0	0	Euskal Baserri			
0	0	Agricultura Ecológica			
0	0	Euskal Baserri			
0	0	Euskal Baserri			
0	0	Eusko Label			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
